ticker,cik,name,Q1,Q2,Q3,Q4,price,market_cap,trailing_PE
MU,0000723125,MICRON TECHNOLOGY INC,30391000000.0,8440000000.0,7797000000.0,7351000000.0,246.92,277871362048.0,32.53228
BK,0001390777,Bank of New York Mellon Corp,18619000000.0,17697000000.0,17502000000.0,16529000000.0,114.44,80707764224.0,16.51371
ROK,0001024478,"ROCKWELL AUTOMATION, INC",6666000000.0,1729500000.0,1698700000.0,1651200000.0,402.22,45223362560.0,52.3724
FICO,0000814547,FAIR ISAAC CORP,374356000.0,313731000.0,307971000.0,298504000.0,1760.45,42257235968.0,66.13261
MTB,0000036270,M&T BANK CORP,9643000000.0,8179000000.0,8178559000.0,1982817000.0,195.9,30613153792.0,12.100061
HUBS,0001404655,HUBSPOT INC,144022000.0,131826000.0,122576000.0,114556000.0,385.21,20297912320.0,
GLXY,0001859392,Galaxy Digital Inc.,50039632000.0,28401871000.0,21637761000.0,8661555000.0,26.09,10537255936.0,46.589287
TTEK,0000831641,TETRA TECH INC,841502000.0,825793000.0,722621000.0,717431000.0,33.58,8823931904.0,36.10753
HALO,0001159036,"HALOZYME THERAPEUTICS, INC.",121703000.0,65316000.0,55221000.0,25354000.0,62.88,7394499584.0,13.265823
QLYS,0001107843,"QUALYS, INC.",94801000.0,93069000.0,88830000.0,86263000.0,149.76,5405719040.0,29.023256
FORM,0001039399,FORMFACTOR INC,272805000.0,143976000.0,136694000.0,83083000.0,58.33,4521572352.0,110.05661
VCTR,0001570827,"Victory Capital Holdings, Inc.",218554000.0,214980000.0,91360000.0,87479000.0,62.76,4191324672.0,16.092306
TMC,0001798562,TMC the metals Co Inc.,814000.0,410000.0,179000.0,113000.0,7.8,4171714816.0,
BXMT,0001061630,"BLACKSTONE MORTGAGE TRUST, INC.",58258000.0,50386000.0,42466000.0,33656000.0,19.65,3371522816.0,31.190475
NUVB,0001811063,Nuvation Bio Inc.,21037000.0,13120000.0,7917000.0,4833000.0,8.58,2941510912.0,
CLVT,0001764046,CLARIVATE PLC,974345000.0,255013000.0,242998000.0,242309000.0,3.71,2493932800.0,
SAH,0001043509,SONIC AUTOMOTIVE INC,2748404000.0,2702720000.0,2614081000.0,2389138000.0,63.78,2179533824.0,17.14516
AMSC,0000880807,AMERICAN SUPERCONDUCTOR CORP /DE/,5300000.0,3900000.0,900000.0,0.0,32.46,1466763136.0,87.72973
RES,0000742278,RPC INC,41919000000.0,1809807000.0,1327025000.0,502235000.0,5.81,1281784064.0,26.40909
SEPN,0001984086,"Septerna, Inc.",21833000.0,21495000.0,338000.0,119000.0,25.96,1162337920.0,
TE,0001992243,T1 Energy Inc.,396741000.0,210522000.0,186219000.0,132767000.0,6.02,1278442112.0,
PEBO,0000318300,PEOPLES BANCORP INC,197000.0,144000.0,142000.0,125000.0,30.32,1082513920.0,10.601398
SERV,0001832483,Serve Robotics Inc. /DE/,946711.0,207545.0,164826.0,62565.0,13.42,999568320.0,
GES,0000912463,GUESS INC,799935000.0,643070000.0,628624000.0,520002000.0,16.92,882407360.0,14.586207
